name,folder,visW,visH,visD,footprint,minY,visibleH,blockR,colType,tris
AP_Neutral_Foliage_A_Weed01_SM,VegetationPrefabs,3.25,1.79,2.40,3.25,-0.27,1.51,0.00,NONE,72
AP_Neutral_Foliage_A_Weed02_SM,VegetationPrefabs,1.48,0.89,1.50,1.50,-0.11,0.77,0.00,NONE,148
AP_Neutral_Foliage_A_WildFlower01_SM_JYI,VegetationPrefabs,1.52,1.46,1.35,1.52,-0.30,1.16,0.00,NONE,52
AP_Neutral_Tree_A_PrickelGrass01_SM,VegetationPrefabs,1.92,1.43,1.95,1.95,-0.26,1.17,0.00,NONE,1087
AP_Norway_Spruce_01,VegetationPrefabs,3.94,12.93,4.00,4.00,-0.25,12.68,0.20,capsule,1514
AP_Plant_001_08,VegetationPrefabs,1.62,1.22,1.59,1.62,-0.05,1.18,0.00,NONE,228
AP_plant_001_13,VegetationPrefabs,4.08,1.85,3.90,4.08,-0.14,1.71,0.00,NONE,282
AP_plant_001_14,VegetationPrefabs,2.16,1.46,1.77,2.16,-0.08,1.39,0.00,NONE,28
AP_plant_001_18,VegetationPrefabs,3.68,2.32,3.94,3.94,-0.91,1.41,0.00,NONE,545
AP_plant_001_28,VegetationPrefabs,3.18,2.75,2.50,3.18,-0.56,2.19,0.00,NONE,138
AP_Plant_003_07,VegetationPrefabs,7.62,10.26,7.03,7.62,-0.14,10.12,0.12,capsule,504
AP_Plant_003_10,VegetationPrefabs,1.89,1.31,1.65,1.89,-0.21,1.10,0.00,NONE,208
AP_S_Tree_01,VegetationPrefabs,30.10,36.85,28.56,30.10,-3.03,33.83,3.22,capsule,2530
AP_Samakyo_flower_003,VegetationPrefabs,2.21,1.42,2.27,2.27,-0.16,1.26,0.00,NONE,288
AP_sunghwangdang_Tree_pagoda_01,VegetationPrefabs,4.10,4.83,4.45,4.45,-0.33,4.50,1.92,capsule,2668
AP_sunghwangdang_Tree_pagoda_01_1,VegetationPrefabs,3.57,4.22,3.13,3.57,-0.31,3.91,1.62,capsule,3645
AP_Tree_04_GTree01_01_SM_2,VegetationPrefabs,17.68,34.02,16.91,17.68,-0.89,33.14,0.96,capsule,3356
AP_Tree_04_GTree01_02_SM,VegetationPrefabs,13.56,31.81,14.35,14.35,-0.73,31.09,0.95,capsule,2842
AP_Tree_04_GTree01_03_SM,VegetationPrefabs,12.27,37.88,11.66,12.27,-0.33,37.55,1.01,capsule,4532
AP_Tree_04_GTree01_04_SM,VegetationPrefabs,16.74,39.78,17.04,17.04,-0.19,39.59,0.96,capsule,4217
AP_Tree_04_GTree01_05_SM,VegetationPrefabs,11.89,39.08,11.32,11.89,-0.59,38.49,0.98,capsule,4146
AP_Tree_04_GTree01_06_SM,VegetationPrefabs,20.28,28.56,10.70,20.28,-0.62,27.94,1.11,capsule,4146
AP_Tree_04_M01_01_SM_2,VegetationPrefabs,17.75,28.99,17.30,17.75,-0.47,28.51,1.19,capsule,3846
AP_Tree_04_M01_02_SM,VegetationPrefabs,14.06,38.04,15.32,15.32,-0.40,37.64,1.34,capsule,4432
AP_Tree_04_M01_03_SM,VegetationPrefabs,20.46,42.58,20.10,20.46,-0.65,41.93,1.40,capsule,3801
AP_Tree_04_M01_04_SM,VegetationPrefabs,12.93,23.57,13.53,13.53,-0.22,23.36,0.87,capsule,2978
AP_Tree_04_M01_05_SM,VegetationPrefabs,16.58,23.12,13.92,16.58,-0.09,23.04,1.22,capsule,2710
AP_Tree_04_PTree_01_SM_2,VegetationPrefabs,10.86,20.78,10.72,10.86,-0.33,20.45,0.69,capsule,3067
AP_Tree_04_PTree_02_SM,VegetationPrefabs,8.56,17.29,9.00,9.00,-0.23,17.06,0.63,capsule,2979
AP_Tree_04_PTree_03_SM,VegetationPrefabs,10.75,21.01,11.30,11.30,-0.12,20.89,0.89,capsule,3043
AP_Tree_04_PTree_04_SM,VegetationPrefabs,7.69,17.63,7.56,7.69,0.00,17.63,0.40,capsule,1194
AP_Tree_04_PTree_05_SM,VegetationPrefabs,4.20,13.33,3.73,4.20,0.00,13.33,0.31,capsule,655
AP_Tree_10_ArgassTree_02_SM,VegetationPrefabs,8.10,9.45,7.64,8.10,-0.13,9.32,1.00,capsule,6349
AP_Tree_10_ArgassTree_03_SM,VegetationPrefabs,9.64,11.23,9.08,9.64,-0.07,11.16,1.13,capsule,9965
AP_Tree_10_ArgassTree_04_SM,VegetationPrefabs,12.79,11.87,10.84,12.79,-0.27,11.60,0.86,capsule,6652
AP_Tree_10_ArgassTree_SM,VegetationPrefabs,7.59,8.19,6.62,7.59,-0.09,8.10,0.72,capsule,8199
AP_Tree_AUT_White_A_02_SM,VegetationPrefabs,10.47,19.36,9.58,10.47,-0.20,19.16,0.31,capsule,3505
AP_Tree_AUT_White_A_03_SM,VegetationPrefabs,9.30,19.26,9.68,9.68,-0.35,18.91,0.31,capsule,2823
AP_Tree_Blackpoplar01_SM,VegetationPrefabs,15.08,21.79,13.59,15.08,-0.17,21.62,1.02,capsule,3057
AP_Tree_Break_02_SM,VegetationPrefabs,6.34,1.38,0.98,6.34,-0.10,1.28,2.99,box,1252
AP_Tree_Break_03_SM,VegetationPrefabs,9.30,1.37,2.51,9.30,-0.08,1.29,4.25,box,1238
AP_Tree_Break_MushroomTrunk_01_SM,VegetationPrefabs,2.22,1.03,2.31,2.31,-0.09,0.94,0.91,box,801
AP_Tree_Break_Root_02_SM,VegetationPrefabs,2.74,1.44,3.03,3.03,-0.10,1.34,0.64,box,509
AP_Tree_Burnt_04_SM,VegetationPrefabs,8.23,27.58,7.36,8.23,-0.13,27.45,0.84,capsule,3531
AP_Tree_color_001_01_2,VegetationPrefabs,11.59,11.63,10.86,11.59,-0.37,11.26,1.08,capsule,1428
AP_Tree_color_001_03,VegetationPrefabs,10.08,9.55,9.63,10.08,-0.12,9.42,0.90,capsule,1460
AP_Tree_Conifir_A_01_SM_2,VegetationPrefabs,12.73,31.28,12.84,12.84,-0.40,30.88,0.75,capsule,3082
AP_Tree_Conifir_A_02_SM,VegetationPrefabs,12.61,30.97,12.72,12.72,-0.32,30.64,0.71,capsule,3082
AP_Tree_Curse_H01_2,VegetationPrefabs,15.63,10.49,11.04,15.63,-0.63,9.87,1.84,capsule,27975
AP_Tree_Curse_J07,VegetationPrefabs,14.82,14.24,10.57,14.82,-0.42,13.82,1.03,capsule,13461
AP_Tree_Curse_J08,VegetationPrefabs,10.05,11.78,7.29,10.05,-0.42,11.36,0.59,capsule,10366
AP_Tree_Curse_K01,VegetationPrefabs,7.96,10.49,9.79,9.79,-0.95,9.54,1.57,capsule,18270
AP_Tree_DeadTree01_SM,VegetationPrefabs,18.33,14.10,15.28,18.33,-0.51,13.59,0.85,capsule,1962
AP_Tree_Deadtree06_SM,VegetationPrefabs,9.29,15.83,7.87,9.29,-0.32,15.51,1.73,capsule,6837
AP_Tree_Dry_D01,VegetationPrefabs,6.51,8.23,7.80,7.80,-0.56,7.67,1.39,capsule,2243
AP_Tree_Dry_N02,VegetationPrefabs,5.25,0.64,4.47,5.25,-0.06,0.59,0.00,NONE,1627
AP_Tree_Heretic_A01_2,VegetationPrefabs,8.00,8.22,5.15,8.00,-0.30,7.92,1.36,capsule,7780
AP_Tree_Heretic_B03,VegetationPrefabs,1.69,5.12,3.88,3.88,-0.16,4.96,1.95,box,1192
AP_Tree_Heretic_B05,VegetationPrefabs,1.66,4.43,1.23,1.66,-0.12,4.31,0.60,capsule,544
AP_Tree_Heretic_D02_01,VegetationPrefabs,12.21,1.73,10.85,12.21,-0.11,1.62,1.70,box,4668
AP_Tree_Heretic_D03,VegetationPrefabs,15.03,2.41,15.04,15.04,-0.07,2.34,3.17,box,4500
AP_Tree_Heretic_D03_02,VegetationPrefabs,12.18,2.60,9.53,12.18,-0.20,2.40,1.38,box,4170
AP_Tree_Juniper02_SMIK,VegetationPrefabs,8.41,11.21,7.83,8.41,-0.59,10.62,0.68,capsule,4052
AP_Tree_Juniper03_SMIK,VegetationPrefabs,11.55,11.79,9.96,11.55,-1.06,10.73,1.02,capsule,2197
AP_Tree_Lake_RoundTree_01_SM,VegetationPrefabs,12.77,15.70,9.72,12.77,-0.37,15.34,1.34,capsule,7253
AP_Tree_Oak01_SM,VegetationPrefabs,10.24,20.18,11.34,11.34,-1.41,18.77,0.81,capsule,6948
AP_Tree_WNT_03_Bark_01_SM_2,VegetationPrefabs,6.62,17.88,6.28,6.62,-0.41,17.47,0.41,capsule,3607
AP_Tree_WNT_M01_01_SM_3,VegetationPrefabs,16.60,20.32,15.71,16.60,-0.57,19.74,0.88,capsule,2949
AP_Tree_WNT_M_03_SM,VegetationPrefabs,13.36,17.20,12.14,13.36,-0.54,16.66,0.60,capsule,2872
AP_TurtleLake_Rock_GoblinRock01_SM,VegetationPrefabs,4.52,3.23,3.51,4.52,-1.62,1.62,1.76,box,1638
AP_TurtleLake_Rock_GoblinRock02_SM,VegetationPrefabs,2.11,3.02,3.90,3.90,-1.27,1.75,1.04,box,1370
AP_TurtleLake_Rock_LakeRock02_SM,VegetationPrefabs,1.43,1.38,1.38,1.43,-0.53,0.85,0.63,box,854
AP_TurtleLake_Rock_TurtleRock04_SM,VegetationPrefabs,9.10,2.30,10.96,10.96,-1.15,1.15,3.88,box,1686
AP_TurtleLake_Tree_BrokenTree01_SM,VegetationPrefabs,0.66,0.46,4.20,4.20,-0.02,0.44,1.89,box,489
AP_TurtleLake_Tree_Stump02_SM,VegetationPrefabs,3.90,2.18,3.54,3.90,-0.70,1.48,0.36,box,2208
AP_WhiteFir_MD_Dead_03,VegetationPrefabs,6.15,15.70,5.58,6.15,-0.79,14.91,0.54,capsule,1315
Blue Aster_LOD,VegetationPrefabs,0.52,0.64,0.52,0.52,0.00,0.64,0.00,NONE,355
BlueEyeGrass_01_LOD,VegetationPrefabs,0.93,0.21,0.89,0.93,-0.01,0.20,0.00,NONE,288
CaliforniaPoppy_01_LOD,VegetationPrefabs,0.79,0.23,0.81,0.81,-0.01,0.21,0.00,NONE,432
CoralBells_green,VegetationPrefabs,1.00,0.63,0.92,1.00,-0.03,0.60,0.00,NONE,142
CupcakeWhite_01_LOD,VegetationPrefabs,1.03,0.11,0.95,1.03,0.00,0.11,0.00,NONE,312
Fern_01A,VegetationPrefabs,1.81,0.50,1.84,1.84,-0.02,0.48,0.00,NONE,156
Fern_01B,VegetationPrefabs,1.78,0.71,1.91,1.91,-0.04,0.67,0.00,NONE,252
Fern_02A,VegetationPrefabs,1.81,0.50,1.84,1.84,-0.02,0.48,0.00,NONE,156
Fern_02B,VegetationPrefabs,1.78,0.71,1.91,1.91,-0.04,0.67,0.00,NONE,252
Fern_03A,VegetationPrefabs,2.20,0.67,2.27,2.27,-0.06,0.61,0.00,NONE,224
Indigo Violet_LOD,VegetationPrefabs,0.81,0.38,0.69,0.81,-0.06,0.33,0.00,NONE,156
Orange Aster_LOD,VegetationPrefabs,0.52,0.64,0.52,0.52,0.00,0.64,0.00,NONE,355
Purple Aster_LOD,VegetationPrefabs,0.52,0.64,0.52,0.52,0.00,0.64,0.00,NONE,351
Purple Violet_LOD,VegetationPrefabs,0.81,0.38,0.69,0.81,-0.06,0.33,0.00,NONE,156
Tangerine Violet_LOD,VegetationPrefabs,0.81,0.38,0.69,0.81,-0.06,0.33,0.00,NONE,156
VioletDaisy_LOD,VegetationPrefabs,0.37,0.13,0.41,0.41,-0.02,0.11,0.00,NONE,302
YellowAfricanDaisy_LOD,VegetationPrefabs,0.67,0.43,0.65,0.67,0.00,0.42,0.00,NONE,937
YellowDaisy_LOD,VegetationPrefabs,0.37,0.13,0.41,0.41,-0.02,0.11,0.00,NONE,446
RF_Boulder1,RetroRealism,0.98,0.70,0.86,0.98,0.00,0.70,0.47,capsule,84
RF_Boulder2,RetroRealism,1.93,0.90,2.07,2.07,0.00,0.90,0.93,capsule,54
RF_Boulder3,RetroRealism,2.78,1.09,2.38,2.78,0.00,1.09,1.08,capsule,52
RF_Boulder4,RetroRealism,3.05,1.70,2.14,3.05,0.00,1.70,1.07,capsule,62
RF_Boulder5,RetroRealism,4.58,2.46,3.68,4.58,0.00,2.46,1.54,capsule,58
RF_Bush1,RetroRealism,0.58,0.97,0.62,0.62,0.00,0.97,0.00,NONE,4
RF_Bush2,RetroRealism,1.12,1.26,1.19,1.19,0.00,1.26,0.00,NONE,8
RF_Bush3,RetroRealism,1.91,2.18,1.75,1.91,0.00,2.18,0.00,NONE,22
RF_Fern1,RetroRealism,0.73,0.23,0.67,0.73,0.00,0.23,0.00,NONE,9
RF_Fern2,RetroRealism,1.25,0.53,1.34,1.34,0.00,0.53,0.00,NONE,33
RF_Log1,RetroRealism,5.16,0.88,0.97,5.16,0.00,0.88,2.58,box,112
RF_Log2,RetroRealism,6.13,1.03,1.26,6.13,-0.35,0.68,2.51,box,230
RF_Log3,RetroRealism,10.08,3.11,3.09,10.08,-1.21,1.90,4.28,box,404
RF_Sapling1,RetroRealism,2.15,2.42,2.42,2.42,0.00,2.42,0.15,capsule,244
RF_Sapling2,RetroRealism,2.82,5.40,2.71,2.82,0.00,5.40,0.18,capsule,684
RF_Stump1,RetroRealism,1.75,2.39,1.94,1.94,-0.80,1.59,0.62,capsule,112
RF_Stump2,RetroRealism,2.66,4.38,2.72,2.72,-0.98,3.40,0.69,capsule,152
RF_Tree1,RetroRealism,3.67,13.59,3.93,3.93,-0.33,13.26,0.14,capsule,314
RF_Tree2,RetroRealism,6.60,18.26,6.23,6.60,-0.48,17.78,0.26,capsule,1204
RF_Tree3,RetroRealism,7.49,20.67,8.02,8.02,-0.84,19.84,0.29,capsule,1378
RF_Tree4,RetroRealism,8.61,25.08,8.18,8.61,-1.15,23.94,0.55,capsule,976
GFF_Grass01,GrassFlowers,0.50,0.50,0.50,0.50,0.00,0.50,0.00,NONE,4
GFF_Grass02,GrassFlowers,0.50,0.50,0.50,0.50,0.00,0.50,0.00,NONE,4
GFF_GrassFlower01,GrassFlowers,0.50,0.50,0.50,0.50,0.00,0.50,0.00,NONE,4
GFF_GrassFlower02,GrassFlowers,0.50,0.50,0.50,0.50,0.00,0.50,0.00,NONE,4
GFF_GrassFlower03,GrassFlowers,0.50,0.50,0.50,0.50,0.00,0.50,0.00,NONE,4
GFF_GrassFlower04,GrassFlowers,0.50,0.50,0.50,0.50,0.00,0.50,0.00,NONE,4
GFF_GrassFlower05,GrassFlowers,0.50,0.50,0.50,0.50,0.00,0.50,0.00,NONE,4
GFF_GrassFlower06,GrassFlowers,0.50,0.50,0.50,0.50,0.00,0.50,0.00,NONE,4
GFF_GrassFlower07,GrassFlowers,0.50,0.50,0.50,0.50,0.00,0.50,0.00,NONE,4
GFF_GrassFlower08,GrassFlowers,0.50,0.50,0.50,0.50,0.00,0.50,0.00,NONE,4
GFF_GrassFlower09,GrassFlowers,0.50,0.50,0.50,0.50,0.00,0.50,0.00,NONE,4
GFF_GrassFlower10,GrassFlowers,0.50,0.50,0.50,0.50,0.00,0.50,0.00,NONE,4
TSA_Bush_A,TerrainSampleAssets,0.59,0.88,0.69,0.69,0.00,0.87,0.00,NONE,362
TSA_Bush_B,TerrainSampleAssets,0.82,0.83,0.73,0.82,-0.02,0.81,0.00,NONE,273
TSA_BushDry_A,TerrainSampleAssets,0.92,1.01,0.73,0.92,-0.01,1.00,0.00,NONE,640
TSA_BushDry_B,TerrainSampleAssets,1.20,1.11,1.07,1.20,-0.01,1.09,0.00,NONE,792
TSA_Fern_A,TerrainSampleAssets,0.94,0.34,0.93,0.94,-0.03,0.31,0.00,NONE,360
TSA_Fern_B,TerrainSampleAssets,0.92,0.26,0.87,0.92,-0.02,0.24,0.00,NONE,464
TSA_Fern_C,TerrainSampleAssets,0.99,0.41,1.00,1.00,-0.03,0.38,0.00,NONE,384
TSA_Grass_A,TerrainSampleAssets,0.31,0.30,0.32,0.32,-0.04,0.26,0.00,NONE,128
TSA_Grass_B,TerrainSampleAssets,0.96,0.39,1.04,1.04,-0.04,0.35,0.00,NONE,1136
TSA_Grass_C,TerrainSampleAssets,0.95,0.60,0.88,0.95,0.00,0.60,0.00,NONE,1002
TSA_Grass_D,TerrainSampleAssets,0.94,0.76,0.90,0.94,-0.02,0.74,0.00,NONE,1268
TSA_GrassDry_A,TerrainSampleAssets,0.41,0.55,0.35,0.41,-0.02,0.53,0.00,NONE,173
TSA_GrassDry_B,TerrainSampleAssets,0.37,0.38,0.36,0.37,-0.02,0.37,0.00,NONE,168
TSA_GrassDry_C,TerrainSampleAssets,0.58,0.71,0.57,0.58,-0.03,0.68,0.00,NONE,122
TSA_Heather_A,TerrainSampleAssets,1.10,1.00,1.03,1.10,-0.07,0.93,0.00,NONE,268
TSA_Heather_B,TerrainSampleAssets,1.22,0.99,1.31,1.31,-0.16,0.83,0.00,NONE,396
TSA_Plant_A,TerrainSampleAssets,0.40,0.95,0.49,0.49,-0.06,0.88,0.00,NONE,260
TSA_Plant_B,TerrainSampleAssets,0.24,0.95,0.20,0.24,-0.06,0.89,0.00,NONE,145
TSA_Plant_C,TerrainSampleAssets,0.31,0.83,0.09,0.31,-0.05,0.78,0.00,NONE,128
TSA_Plant_D,TerrainSampleAssets,0.22,0.44,0.06,0.22,-0.02,0.42,0.00,NONE,61
