biome,prefab,spacingMin,spacingMax,maxSlope,scaleMin,scaleMax
Fountain,AP_Tree_Juniper03_SMIK,68,92,28,0.84,1.14
Fountain,AP_Tree_Juniper02_SMIK,68,92,28,0.82,1.16
Fountain,AP_Tree_10_ArgassTree_02_SM,76,102,28,0.82,1.16
Fountain,AP_Tree_10_ArgassTree_SM,86,116,28,0.82,1.16
Fountain,AP_ENV_tree_Nokmyung,68,92,30,0.78,1.20
Fountain,AP_Plant_003_07,76,102,28,0.78,1.20
Fountain,AP_Tree_Oak01_SM,86,116,24,0.88,1.10
Fountain,AP_M6_Tree_Bushtree01_SM,115,155,24,0.82,1.16
Fountain,AP_M6_Tree_Bushtree02_SM,130,180,22,0.84,1.14
Fountain,AP_TurtleLake_Rock_GoblinRock02_SM,160,220,24,0.80,1.20
Fountain,AP_TurtleLake_Rock_GoblinRock01_SM,160,220,24,0.80,1.20
Fountain,AP_TurtleLake_Rock_TurtleRock04_SM,170,230,18,0.84,1.10
Fountain,AP_TurtleLake_Rock_LakeRock02_SM,160,220,24,0.74,1.28
Fountain,AP_Tree_Break_MushroomTrunk_01_SM,160,220,22,0.82,1.22
FlakTower,AP_FallTree_01_SM_1,88,118,26,0.86,1.08
FlakTower,AP_FallTree_01_SM,92,126,26,0.86,1.10
FlakTower,AP_Tree_AUT_White_A_02_SM,110,150,28,0.86,1.10
FlakTower,AP_Tree_AUT_White_A_03_SM,120,168,28,0.84,1.12
FlakTower,AP_FallTree_02_SM,100,138,28,0.84,1.12
FlakTower,AP_Tree_color_001_01_2,110,150,28,0.84,1.14
FlakTower,AP_Tree_color_001_03,120,168,28,0.84,1.14
FlakTower,AP_Norway_Spruce_01,70,96,32,0.82,1.16
FlakTower,AP_BC_PineTree_02,78,104,32,0.82,1.16
FlakTower,AP_BC_PineTree_03,88,118,32,0.82,1.16
FlakTower,AP_AlaskaCedar_001_2,78,104,34,0.80,1.18
FlakTower,AP_Tree_04_PTree_05_SM,88,118,32,0.80,1.16
FlakTower,AP_ENV_tree_ToeMunJean,120,168,28,0.80,1.18
FlakTower,AP_ENV_tree_SaGeeSukRim,120,168,28,0.80,1.18
FlakTower,AP_Plant_003_07,110,150,30,0.78,1.20
